"seq_unique","HH119-CO-SMILF","HH119-SILP","HH119-SI-MILF","HH119-COLP","HH119-SI-PP_Fol-12","HH119-SI-PP_Fol-28","HH119-SI-PP_Fol-3"
"seq1",1,0,0,0,0,0,0
"seq10",0,1,0,0,0,0,0
"seq11",0,1,0,0,0,0,0
"seq12",0,4,0,0,0,0,0
"seq13",0,2,0,0,0,0,0
"seq14",0,1,0,0,0,0,0
"seq15",0,1,0,0,0,0,0
"seq16",0,1,0,0,0,0,0
"seq17",0,1,0,0,0,0,0
"seq18",0,1,0,0,0,0,0
"seq19",0,1,0,0,0,0,0
"seq2",0,1,1,0,0,0,0
"seq20",0,1,0,0,0,0,0
"seq21",0,2,0,0,0,0,0
"seq22",0,1,0,0,0,0,0
"seq23",0,1,0,0,0,0,0
"seq24",0,1,0,0,0,0,0
"seq25",0,1,0,0,0,0,0
"seq26",0,1,0,0,0,0,0
"seq27",0,1,0,0,0,0,0
"seq28",1,0,0,0,0,0,0
"seq29",0,0,0,1,0,0,0
"seq3",0,0,1,0,0,0,0
"seq30",0,0,1,1,0,0,0
"seq31",0,0,1,0,0,0,0
"seq32",0,0,1,0,0,0,0
"seq33",0,1,0,0,0,0,0
"seq34",0,1,0,0,0,0,0
"seq35",0,0,0,0,1,0,0
"seq36",0,1,0,0,0,1,0
"seq37",0,0,1,0,0,0,0
"seq38",0,1,0,0,0,0,0
"seq39",0,0,0,1,0,0,0
"seq4",0,4,0,0,0,0,1
"seq40",0,0,0,1,0,0,0
"seq5",0,23,0,0,0,0,0
"seq6",0,1,0,0,0,0,0
"seq7",0,3,0,0,0,0,0
"seq8",0,3,0,0,0,0,0
"seq9",0,5,0,0,0,0,0
