"seq_unique","PCs","GC_B_cells","Memory_Bcells"
"seq1",1,0,0
"seq10",0,1,0
"seq11",0,1,0
"seq12",0,2,0
"seq13",0,1,0
"seq14",0,1,0
"seq15",0,1,0
"seq16",0,1,0
"seq17",0,1,0
"seq18",0,1,0
"seq19",0,1,0
"seq2",1,0,1
"seq20",0,1,0
"seq21",0,1,0
"seq22",0,1,0
"seq23",0,1,0
"seq24",0,1,0
"seq25",0,1,0
"seq26",0,1,0
"seq27",0,1,0
"seq28",0,1,0
"seq29",0,1,0
"seq3",0,1,0
"seq30",0,1,0
"seq31",0,1,0
"seq32",0,1,0
"seq33",0,1,0
"seq34",0,1,0
"seq35",0,1,0
"seq36",0,1,0
"seq37",0,1,0
"seq38",0,1,0
"seq39",0,1,0
"seq4",0,3,0
"seq40",0,1,0
"seq41",0,1,0
"seq42",0,1,0
"seq43",0,1,0
"seq44",0,1,0
"seq45",0,1,0
"seq46",0,1,0
"seq47",0,1,0
"seq48",0,1,0
"seq49",0,1,0
"seq5",0,1,0
"seq50",0,1,0
"seq51",0,1,0
"seq52",0,1,0
"seq53",0,1,0
"seq54",0,1,0
"seq55",0,1,0
"seq56",0,1,0
"seq57",0,1,0
"seq58",0,1,0
"seq59",0,1,0
"seq6",0,1,0
"seq60",0,1,0
"seq61",0,1,0
"seq62",0,1,0
"seq63",0,1,0
"seq64",1,0,0
"seq65",1,0,0
"seq66",0,0,1
"seq67",0,3,0
"seq68",3,0,0
"seq7",0,1,0
"seq8",0,1,0
"seq9",0,3,0
