"seq_unique","HH119-CO-SMILF","HH119-COLP","HH119-SI-PP_Fol-15","HH119-SI-PP_Fol-7","HH119-SI-PP_Fol-3","HH119-SI-PP_Fol-24","HH119-SI-PP_Fol-20","HH119-SI-PP_Fol-25","HH119-SI-PP_Fol-27","HH119-SILP","HH119-SI-PP_Fol-34","HH119-SI-MILF","HH119-SI-PP_Fol-18","HH119-SI-PP_Fol-2"
"seq1",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"seq10",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"seq11",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"seq12",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"seq13",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"seq14",0,0,0,0,0,0,1,1,1,3,0,0,0,0
"seq15",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"seq16",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"seq17",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"seq18",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"seq2",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq3",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq4",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq5",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq6",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"seq7",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq8",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"seq9",0,0,0,0,0,0,0,0,0,0,0,0,0,1
