"seq_unique","IGHM","IGHA2","IGHD"
"seq1",1,0,0
"seq10",1,0,0
"seq11",1,0,0
"seq12",1,0,0
"seq13",1,0,0
"seq14",1,0,0
"seq15",1,0,0
"seq16",1,0,0
"seq17",1,0,0
"seq18",1,0,0
"seq19",1,0,0
"seq2",1,0,0
"seq20",2,0,0
"seq21",1,0,0
"seq22",3,0,0
"seq23",1,0,0
"seq24",1,0,0
"seq25",1,0,0
"seq26",1,0,0
"seq27",2,0,0
"seq28",1,0,0
"seq29",1,0,0
"seq3",3,0,0
"seq30",1,0,0
"seq31",1,0,0
"seq32",1,0,0
"seq33",1,0,0
"seq34",1,0,0
"seq35",1,0,0
"seq36",1,0,0
"seq37",1,0,0
"seq38",1,0,0
"seq39",1,0,0
"seq4",1,0,0
"seq40",1,0,0
"seq41",0,1,0
"seq42",1,0,0
"seq43",0,0,1
"seq44",1,0,0
"seq45",1,0,0
"seq46",1,0,0
"seq47",1,0,0
"seq48",1,0,0
"seq49",1,0,0
"seq5",1,0,0
"seq50",1,0,0
"seq51",1,0,0
"seq52",1,0,0
"seq53",1,0,0
"seq54",1,0,0
"seq55",1,0,0
"seq56",1,0,0
"seq57",1,0,0
"seq58",1,0,0
"seq59",1,0,0
"seq6",1,0,0
"seq60",1,0,0
"seq61",1,0,0
"seq62",1,0,0
"seq63",1,0,0
"seq64",1,0,0
"seq65",1,0,0
"seq66",3,0,0
"seq67",1,0,0
"seq68",3,0,0
"seq7",1,0,0
"seq8",1,0,0
"seq9",1,0,0
